name,description,type,status,date_created,country,volunteer_skills
Myanmar: Floods - Jul 2024,"Since 30 June, continuous heavy rain and swollen rivers have caused flash floods in Kachin State, impacting several townships, including the state capital, Myitkyina. In Bhamo Township, approximately 3,500 people have been displaced to nine evacuation sites. In Sumprabum Township, riverbank collapses have destroyed houses, water erosion has damaged parts of the road, and landslides have affected the road between Myitkyina and Puta-O. The flood-affected population has received food, water, and other assistance from the de facto authorities and partners. On 5 July, partners conducted a rapid needs assessment at 26 sites. ([OCHA, 9 Jul 2024](https://reliefweb.int/node/4076439))

Amid the ongoing conflict in many parts of the country, Myanmar continues to grapple with flooding during the monsoon season. Since the end of June, low-lying areas along various rivers, especially Ayeyarwady and Chindwin, have been affected. In the northwest, more than 15 townships in Magway, Mandalay and Sagaing have been affected, with an estimated 118,000 people being temporarily evacuated to safer places since the beginning of July. Sagaing has been the hardest hit, with at least 11 townships flooded, followed by Mandalay, which had four townships affected. In Kachin, approximately 37,000 people in several townships were also temporarily evacuated due to the flash flooding on 30 June. Most of the flood-affected population in Myitkyina and Waingmaw townships have returned home as water levels have receded. Immediate lifesaving assistance was provided by humanitarian partners and local authorities in Kachin and in the northwest. ([OCHA, 16 Jul 2024](https://reliefweb.int/node/4078287))",Flood,ongoing,2024-07-09T01:42:49+00:00,Myanmar,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Pakistan: Floods and Landslides - Jun 2024,"Heavy rain and thunderstorms hit parts of Punjab Province, eastern Pakistan on 5 June, causing severe weather-related incidents and resulting in casualties and damage. According to media, at least six people died, of whom four in Gujranwala District and two in Khushab District, north-eastern Punjab, due to severe weather-related incidents and 40 others have been injured, most of them (30) in Narowal District. ([ECHO, 7 Jun 2024](https://reliefweb.int/node/4068517))

Heavy rainfall and strong winds have been affecting north-western Pakistan, in particular the Khyber Pakhtunkhwa Province since 24 June, causing a number of severe weather-related incidents that have resulted in casualties and damage. The Provincial Disaster Management Authority (PDMA) reports, as of 27 June, two fatalities, three injured persons and two damaged houses across the Bannu and the Karak districts, Khyber Pakhtunkhwa province.  ([ECHO, 27 Jun 2024](https://reliefweb.int/node/4073392))

The pre-monsoon rains lashed parts of Baluchistan over the weekend. Eight people died, dozens injured, and more than 300 mud houses collapsed.
The landslide between Danasar and Dera Ismail Khan blocked the major highway suspending traffic. The rains started on 28 June and continued over the weekend in Zhob, Sherani, Qila Saifullah, Barkhan, Musakhail, Dera Bugti, and Loralai areas of the province. Pakistan Meteorological Depart­ment (PMD) predicts more rain-windstorm/thundershower likely at isolated places in Zhob, Musa Khel, Qila Saifullah, Loralai, Barkhan, Khuzdar, Awaran, Lasbella and coastal areas of Makran during evening/night. ([ECHO, 1 Jul 2024](https://reliefweb.int/node/4074247))

The monsoon season has been hitting parts of the country, particularly Sindh province where in the past 24 hours two people have died due to severe weather-related incidents. According to the National Disaster Management Authority of Pakistan (NDMA), since 1 July a total of seven people have died, six in Sindh and one in Balochistan due to flash floods and severe weather events, six people have been injured and 15 houses have been damaged. ([ECHO, 4 Jul 2024](https://reliefweb.int/node/4075339))

The monsoon season continues to hit parts of the country, particularly the Punjab and Khyber Pakhtunkhwa provinces, where in the past 24 hours, nine people have died and 22 others have been injured. According to the National Disaster Management Authority of Pakistan (NDMA), as of 14 July, a total of 40 people have died, of whom 24 in Punjab, seven in Khyber Pakhtunkhwa, six in Sindh and two in Balochistan due to flash floods and severe weather events. ([ECHO, 15 Jul 2024](https://reliefweb.int/node/4077955))",Flood,alert,2024-07-05T05:51:22+00:00,Pakistan,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Hurricane Beryl - Jun 2024,"Tropical cyclone Beryl has become a major hurricane forecast to bring life-threatening winds and storm surge to the Caribbean, according to the National Hurricane Center. The hurricane headed toward the Windward Islands (Saint Lucia, Saint Vincent and the Grenadines, Grenada and Martinique). On 29 June evening, Beryl was about 960 km/h east-southeast of Barbados with maximum sustained winds of near 136 km/h, moving west at around 30 km/h. Maximum sustained winds of 129 – 177 km/h or greater, rainfall accumulations of 100 to 150mm, very rough and hazardous marine conditions and storm surges are expected across St. Vincent and the Grenadines, with possible higher winds offshore. Large and destructive waves/swells are likely to cause life-threatening surf and rip currents. The government of St Vincent and the Grenadines has urged the population to gather emergency supplies. Shelters are to be accessible by 6 p.m. local time today. Volunteers are active in their various communities, checking the vulnerable population and assisting families preparing for the event. ([ECHO, 30 Jun 2024](https://reliefweb.int/node/4073987))

Hurricane Beryl, the earliest hurricane to reach category five intensity in the Atlantic Ocean, has caused unprecedented devastation across the Caribbean, making its destructive path through Saint Vincent and the Grenadines, Grenada, Dominica, Barbados, and Jamaica...The storm first impacted Barbados, causing severe damage to the south coast and significantly affecting the fishing industry, with over 200 fishing vessels damaged or destroyed. In Saint Vincent and the Grenadines, 90 percent of infrastructure has been damaged, including houses, roads, and the airport terminal on Union Island. Communication with the Southern Grenadines remains disrupted, and access to basic services is still limited...While in Grenada, Beryl made landfall in Carriacou as a Category 4 hurricane, damaging 95 percent of homes in Carriacou and Petite Martinique. ([IFRC, 4 Jul 2024](https://reliefweb.int/node/4075316))

According to the 5 July Government Gazette, the parishes of Saint Patrick, Carriacou and Petite Martinique have been declared disaster zones from 1 July to 30 September 2024. The Damage and Needs Assessment (DANA) team confirmed that all data for Grenada should be finalized by 16 July. Currently, only the assessment for St. David is pending completion. Road blockages and assessment fatigue among residents are causing delays. The full extent of damage in Mayreau and Canouan remains unknown due to telecommunication issues, but similarly severe damage is expected. Bequia in the northern Grenadines sustained less damage. As Mayreau is far from the mainland, it is accessible only by a two-hour boat trip from St. Vincent. Although some aid is expected to trickle in from nearby islands, needs are widespread, and the aid is only guaranteed for the short term. An estimated 1,000 people remain in public shelters, a figure that does not account for those in private homes. ([OCHA, 9 Jul 2024](https://reliefweb.int/node/4076720))
### Appeals & Response Plans

- [![IFRC: Jamaica | Hurricane Beryl Emergency Appeal National Society Response Plan (MDRS2001) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/2f/2c/2f2c11df-f09c-4a7a-90f4-d802d2319099.png) IFRC: Jamaica | Hurricane Beryl Emergency Appeal National Society Response Plan (MDRS2001)](https://reliefweb.int/node/4082330)
- [![OCHA: Regional Overview and Planned Response: Hurricane Beryl, July - December 2024 (Issued 9 July 2024) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/d1/50/d150f8e5-1325-462b-9530-7aa3c21b542c.png) OCHA: Regional Overview and Planned Response: Hurricane Beryl, July - December 2024 (Issued 9 July 2024)](https://reliefweb.int/node/4076723)",Tropical Cyclone,ongoing,2024-07-01T04:20:14+00:00,"Barbados, Dominican Republic, Grenada, Haiti, Jamaica, Mexico, Saint Lucia, Saint Vincent and the Grenadines, Trinidad and Tobago, Venezuela (Bolivarian Republic of)","Emergency management, Evacuation coordination, Storm tracking, Public safety, Infrastructure protection"
Nepal: Floods and Landslides - Jun 2024,"Flood is the most severe of the hazards observed in Nepal in terms of physical and socioeconomic losses and destruction. Koshi, Karnali, and Narayani are the major river systems in Nepal, and floods from these large perennial river systems generally impact several districts in the Southern Terai plains. Moreover, rivers such as West Rapti, and Babai Rivers, which originate in the Mahabharat range, do more damage in the Terai floodplains because they frequently generate flash floods during the monsoon. Moreover, the Terai's vulnerable topography, combined with its dependency on agriculture, exacerbates the severity of flood hazards compared to other regions. ([IFRC, 12 Jun 2024](https://reliefweb.int/node/4069831))

The targeted flood-prone areas are the Terai districts along the flood plains of Karnali, Babai and West Rapti rivers, namely Banke, Bardiya and Kailali, frequently affected due to flooding in the monsoon period. People living along these rivers especially low-lying areas, informal settlements, fragile houses, and those who have low-income status and a number of dependent family members to care for, are highly vulnerable to flooding; especially during the monsoon (June to September). ([IFRC, 12 Jun 2024](https://reliefweb.int/node/4069831))

The monsoon season is impacting several parts of Nepal, causing floods, triggering landslides and resulting in casualties and damage. According to the Nepal Disaster Risk Reduction Portal, as of 8 July, 21 people have died since the beginning of the month - 12 due to landslides and nine others to floods - three people are still missing, 29 have been injured and 541 families have been affected across several districts of the country. ([ECHO, 8 Jul 2024](https://reliefweb.int/node/4076122))

Heavy rainfall has been affecting central Nepal (particularly the Gandaki province and the neighbouring Bagmati province over the last 24 hours, triggering huge landslides that have resulted in casualties and damage. Media report, as of 12 July, 11 fatalities across the Kaski district (Gandaki province), one fatality and 65 persons still missing in the Chitwan district (Bagmati province) due to different landslide events. Over the next 96 hours, very heavy rainfall is still forecast over most of Nepal. ([ECHO, 12 Jul 2024](https://reliefweb.int/node/4077492))

In the past few days, a series of landslides triggered by heavy monsoon rainfall have occurred in parts of Nepal and resulted in casualties and damage. In particular, in Chitwan District, south-central Nepal, a major landslide swept away two passenger buses, leading to eight fatalities and 54 still missing people as reported by the Nepal Disaster Risk Reduction Portal (DRR) and media. According to the DRR portal, since 10 July, a total of 25 people died and 13 others have been injured in five different landslide events across the districts of Baglung, Chitawan, Kaski, and Myagdi. ([ECHO, 17 Jul 2024](https://reliefweb.int/node/4077941))",Flood,ongoing,2024-06-26T03:39:38+00:00,Nepal,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Guatemala: Dengue Outbreak - May 2024,"Dengue continues to be the arbovirus with the highest number of reported cases in the Americas region, with outbreaks occurring on a cyclical basis every 3 to 5 years. During the year 2024 between epidemiological weeks (SE, for its acronym in Spanish) 1 and 16 of 2024, a total of 6,769,140 suspected cases of dengue were reported (cumulative incidence of 717 cases per 100,000 population). This ígure represents an increase of 206% compared with the same period in 2023 and 387% compared with the average for the last 5 years (1).

On 16 February 2024, in view of the exponential increase in dengue cases observed in the írst weeks of the year in several countries of the Region of the Americas, PAHO made an urgent appeal to Member States. The organization emphasized the need to intensify vector control measures and to maintain active surveillance, ensuring early diagnosis and timely treatment of cases (2).

On 7 March 2024, the Ministry of Public Health and Social Assistance (MSPAS, for its acronym in Spanish) of Guatemala, through the Directorate of Epidemiology and Risk Management, issued an epidemiological alert for dengue (3). This alert was established to reinforce dengue control and prevention plans, based on data accumulated up to epidemiological week 7, which ended on 17 February. As of that date, a total of 6,760 cases of dengue fever had been recorded this year, of which 31 were severe cases resulting in 3 deaths. The decision to issue this alert was motivated by the beginning of the high dengue transmission season in the country. As part of this measure, speciíc epidemiological surveillance actions were reinforced, including standardized protocols for the detection, notiícation, and registration of cases in hospitals and health areas. [IFRC](https://reliefweb.int/report/guatemala/guatemala-dengue-dref-operation-mdrgt022)",Epidemic,ongoing,2024-06-20T17:49:10+00:00,Guatemala,"Disease surveillance, Public health education, Vaccination campaigns, Epidemiological tracking, Quarantine management"
Bangladesh: Floods and Landslides - Jun 2024,"On 18 and 19 June, heavy monsoon rainfall impacted the refugee camps in Cox’s Bazar, southeastern Bangladesh causing flash floods and 773 landslides incidents, resulting in casualties and damage. According to humanitarian partners, as of 19 June, 10 people died, including at least seven Rohingya refugees, almost 8,000 people have been affected across 33 camps in Cox’s Bazar and also around 1,200 shelters. Rising water and mudslides have damaged learning centers, health facilities, mosques, latrines, water points and bathing cubicles. Flooding from heavy rains has also affected 1.6 million people in other parts of the country. Nearly 30,000 people moved to shelter centres while many families were seen wandering in northeastern Bangladesh. Only in Sylhet district, almost 75 percent of areas, including 23 wards of the city and 1,548 villages in 13 Upazilas, have been flooded, directly affecting over 825,000 people. In Sunamganj district, flooding affected 560,000 people. ([ECHO, 20 Jun 2024](https://reliefweb.int/node/4071746))

Continuous heavy rainfall inside the country over the past three days and onrushing water from upstream have flooded the northeast Haor region of Bangladesh. Sylhet and Sunamganj districts have experienced 242 mm and 223 mm of rainfall respectively already exceeded monthly average.
Almost 75% of Sylhet district is now flooded, with more than half of the crops and paddy fields in the region submerged under water, likely to have lasting impacts on people’s food security. According to humanitarian partners, as of 19 June, 15 people died due to landslides. ([ECHO, 21 Jun 2024](https://reliefweb.int/node/4072040)) 

Following the heavy rainfall and widespread floods brought by heavy rainfall, the amount of humanitarian impact increased in Bangladesh, particularly across the districts of Sylhet and Sunamganj in north-eastern Bangladesh and in Cox's Bazar area, south-eastern Bangladesh. According to CARE International, the death toll stands at ten while 260,000 people have been displaced and sheltered in more than 1,000 shelters and 3.74 million people have been affected. In addition, UNICEF reports that 772,000 children are at risk of drowning, malnutrition, and waterborne diseases. ([ECHO, 1 Jul 2024](https://reliefweb.int/node/4074244))

Torrential rains and upstream flow resulted in the flooding of lower areas in 15 districts and left thousands of people stranded. State Minister for Disaster Management and Relief indicated that around 2 million people in 15 districts were affected by the ongoing floods. The worst-affected districts are Sylhet, Sunamganj, Netrokona, Moulvibazar, Habiganj, Rangpur, Jamalpur, Gaibandha, Feni, Rangamati, Bogra, Kurigram, Sirajganj, Lalmonirhat, Tangail and Cox’s Bazar. ([ECHO, 8 Jul 2024](https://reliefweb.int/node/4076109))

Several parts of Bangladesh are still experiencing monsoon heavy rainfall, widespread floods and the overflow of several rivers, which have resulted in evacuations and damage. According to the Bangladesh Red Crescent Society (BDRCS), as of 7 July, in the northeast parts, particularly in Sylhet, Sunamganj, Moulvibazar, Habiganj, Kishoreganj and Netrokona, 2.5 million people have been affected. At the same time, in the northern Districts, including Lalmonirhat, Kurigram, Gaibandha, Bogura, Sirajganj, Jamalpur, Tangail, and Munshigan, almost 750,000 people have been impacted and more than 12,000 evacuated. Furthermore, in the southeastern districts - Feni, Rangamati, Khagrachari, Bandarban, and Coxs Bazar - thousands of people have been affected by heavy rain and floods. ([ECHO, 9 Jul 2024](https://reliefweb.int/node/4076447))

Flooding caused by recent monsoon rains and swollen rivers has engulfed multiple northern districts of Bangladesh, severely impacting low-lying areas, chars and riverine regions submerged since July 12. The Flood Forecasting and Warning Centre (FFWC) estimates that 5.13 million people face potential inundation in Jamuna River basin districts, including 1.5 million children aged 5-19 years and over 80,000 persons with disabilities. The Bangladesh Meteorological Department (BMD) issued a heavy rainfall warning on 11 July, effective for 48 hours, covering these districts and neighboring Indian states. The Brahmaputra-Jamuna River has breached danger levels in Bogura, Gaibandha, Jamalpur and Kurigram, exacerbating the situation. The government's response includes TK 9,500,000 in cash relief, 3,700 tons of rice, and 13,500 food packs distributed across severely affected areas to provide urgent assistance to affected populations amidst this ongoing crisis. ([OCHA, 16 Jul 2024](https://reliefweb.int/node/4078287))
### Appeals & Response Plans

- [![UN RC Bangladesh: Bangladesh: Cyclone and Monsoon Floods Humanitarian Response Plan (June-December 2024) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/4b/c4/4bc4311f-a554-4fa1-995b-c9a6d8728aca.png) UN RC Bangladesh: Bangladesh: Cyclone and Monsoon Floods Humanitarian Response Plan (June-December 2024)](https://reliefweb.int/node/4077775)",Flood,ongoing,2024-06-20T12:21:57+00:00,Bangladesh,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
El Salvador: Floods and Landslides - Jun 2024,"Heavy rainfall has been affecting El Salvador since 15 June, causing floods, landslides and severe weather-related incidents, that have resulted in casualties and damage. According to the Pan American Health Organization (PAHO) and media reports, as of 17 June, at least 14 fatalities have been reported, including five in Tacuba district in Ahuachapán Department (western El Salvador) due to a landslide, two due to a severe weather-related incident, and four due to flooding. At least 744 people have been displaced in 30 active shelters, another 100 shelters are pre-equipped and available, and 26 homes have been destroyed. A national state of emergency was declared on 16 June. On 19-20 June, more very heavy rainfall is forecasted for the whole country. ([ECHO, 19 Jun 2024](https://reliefweb.int/node/4071464))

From 14-22 June, intense rains in El Salvador resulted in an unprecedented 800 mm of rainfall, prompting the Directorate General of Civil Protection to issue a national red alert and a state of emergency on 16 June. This alert has since been reduced to green, but the country remains in a state of emergency until 1 July. As of 25 June, the rains have resulted in 19 deaths, damaged 240 homes, flooded a further 256 and left 19 communities without electricity. The Humanitarian Country Team is coordinating with the Ministry of Foreign Affairs and the Salvadoran Agency for International Cooperation (ESCO) to address identified needs and manage the distribution of supplies.  ([OCHA, 28 Jun 2024](https://reliefweb.int/node/4073874))",Flood,alert,2024-06-19T13:34:44+00:00,El Salvador,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Angola: Drought - May 2024,"In Southern Africa, the impact of El Niño began in November 2023 and has continued into the first quarter of 2024, with high temperatures and below average rainfall reported. A record mid-season dry spell has affected vast parts of the region including, Angola, Botswana, Malawi, Mozambique, Namibia, Zambia, and Zimbabwe ... The evolving drought crisis in Southern Africa is expected to continue to worsen already dire food insecurity levels, further driving malnutrition and spreading diseases like cholera. Reports indicate that the impact of these dry conditions in Southern Africa is likely to be long-lasting, with FEWS NET projections indicating the possibility of elevated needs for food
assistance during the lean season in early 2025. ([IFRC, 14 Jun 2024](https://reliefweb.int/node/4070454))",Drought,alert,2024-06-18T08:03:09+00:00,Angola,"Water conservation, Agricultural assistance, Climate resilience, Community support programs, Sustainable practices"
Honduras: Dengue Outbreak - May 2024,"This year, due to the escalating number of reported cases, the Secretariat of Health (SESAL) issued an epidemiological alert in February. By March, the incidence of cases had escalated to epidemic proportions. Despite extending the scope of the alert in May, the number of dengue cases and associated fatalities continued to rise. Consequently, a national emergency was declared on 31 May. According to data from the Epidemiological Alert issued by WHO on 24 May 2024, in Honduras, up to EW 19 of 2024, of the 20,563 dengue cases reported, 1,248 (6.0%) were laboratory-confirmed, and 266 (1.29%) were classified as severe dengue, as well as 27 deaths, with 11 of these fatalities directly attributed to the disease. The cases reported up to EW 19 of 2024 represent an increase of 445% compared to the same period of 2023, and 193% compared to the average of the last 5 years. In the same period, a total of 10 deaths were reported, corresponding to a case fatality rate of 0.049%. ([IFRC, 14 Jun 2024](https://reliefweb.int/node/4070460))

In Honduras, up to EW 21 of 2024, 25,859 cases of dengue were reported, representing an increase of 436% compared to the same period in 2023 and 199% compared to the last 5-year average. The cumulative incidence rate as of EW 21, 2024 is 257 cases per 100,000 population, 336 cases (1.29%) were characterized as severe and 20 fatal cases were recorded (case fatality rate 0.077%). ([PAHO, 18 Jun 2024](https://reliefweb.int/node/4071322/))",Epidemic,ongoing,2024-06-14T13:36:34+00:00,Honduras,"Disease surveillance, Public health education, Vaccination campaigns, Epidemiological tracking, Quarantine management"
Armenia: Floods - May 2024,"A severe flash flood struck the Lori and Tavush regions in Armenia on 26 May 2024, following heavy rain the previous day. Between Alaverdi and Chochkan, the flooding affected at least 15 villages, including Alaverdi, Akhtala, Bagratashen, Bendik, Deghdsavan, Haghtanak, Karkop, Mets Ayrum, Pokr Ayrum, Sanahin, Shamlug, and Shnogh. The flooding resulted in significant damage to infrastructure, homes, livestock, and businesses. Based on the latest national population census of Armenia, the combined population of these villages exceeds 30,000 people. ([IFRC, 13 Jun 2024](https://reliefweb.int/node/4070151))",Flood,past,2024-06-13T13:08:24+00:00,Armenia,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Botswana: Drought - May 2024,"On May 24, 2024, the Rural Development Secretariat under the Ministry of Local Government and Rural Development issued a report urging support due to the devastating impact of drought on food security drivers, nutrition, water supplies, and food production. The report highlighted a signicant decline in crop yields, with a drop from 206,572 tons harvested in 2021/22 to 125,184 tons in 2022/23. Cereal production in 2022/23 reached only 67,530 tons, which is equivalent to just 23% of the national requirement. The 2022/23 cropping season experienced low and highly erratic rainfall, along with extended dry periods, severely impacting food and agricultural production, disrupting urban water supplies, and damaging the rural economy and socio-cultural structures. As a result, the nation is experiencing signicant chronic food insecurity, with over 10% of the population facing food and nutrition problems.
The country has experienced dry spells and rainfall decits in recent years, leading the government to declare a drought emergency in July 2023. This marks the third consecutive year of severe drought, affecting arable agricultural land in a context where 70% of the rural population depends on agriculture for their livelihoods, primarily through rain-fed farming. Since then, 163,000 people have been categorized as food insecure. The SADC Synthesis Report on The State of Food and Nutrition Security and Vulnerability in Southern Africa indicated that 37,000 individuals in Botswana are experiencing food insecurity in 2024.
The El Niño drought effect in Southern Africa has further exacerbated the already critical drought situation. According to the Southern Africa Seasonal Monitor report, Botswana is currently experiencing El Niño conditions, leading to severe rain deficits and challenging harvest conditions across most of the region, with dry spells expected to persist. ([IFRC, 12 June 2024](https://reliefweb.int/node/4069836))",Drought,ongoing,2024-06-12T13:58:10+00:00,Botswana,"Water conservation, Agricultural assistance, Climate resilience, Community support programs, Sustainable practices"
Sri Lanka: Floods and Landslides - May 2024,"Heavy rainfall, strong winds, thunderstorms and lightning continued to affect most of Sri Lanka since 10 May. The affected provinces are: Sabaragamuwa, Northern, Western, Southern, North Western, Central, North Central, Uva and Eastern. The Disaster Management Centre (DMC) reports, as of 23 May, four fatalities, ten injured people, nearly 1,000 damaged houses and a total of approximately 34,000 affected people across 18 districts throughout the aforementioned nine affected provinces. ([ECHO, 23 May 2024](https://reliefweb.int/node/4064493/))

Heavy rainfall and thunderstorms have been affecting almost 24 districts of Sri Lanka since 15 May, resulting in casualties and damage. The National Disaster Relief Services Centre (NDRSC) report, as of 29 May, ten fatalities, of whom four in Puttalam, two in Galle, two in Ratnapura, one in Batulla and one in Nuwara Eliya districts in western and southern Sri Lanka. Three people are still missing, 26 have been injured, and a total of 66,787 people have been affected by severe weather. In addition, 37 houses have been destroyed and 5,556 have been partially damaged. ([ECHO, 30 May 2024](https://reliefweb.int/node/4066380/))

Sri Lanka faces severe floods following heavy rains since Sunday, 2 June. Over 159,000 people are affected cross 13 districts. Colombo, Gampaha, Kalutara, Matara, Ratnapura, Kegalle, and Galle are the worst hit areas. The floods have caused at least 17 deaths and five people to be missing. Over 23,700 people are displaced in 119 shelters. Rescue efforts are ongoing, with boats deployed to Gampaha. The government is coordinating relief efforts. Flood alerts are in place for Colombo and other areas. ([ECHO, 4 Jun 2024](https://reliefweb.int/node/4067497/))

Heavy rainfall, strong winds, thunderstorms and lightning, due to the onset of the Southwest Monsoon, continued to affect most of Sri Lanka since 1 June. The affected provinces are: Sabaragamuwa, Northen, Western, Southern, North Western and Central. Media report, as of 5 June, 26 fatalities and 41 injured people across the affected area. The Disaster Management Centre (DMC) also reports, as of 4 June, one person still missing, more than 8,200 evacuated people in 123 shelters, nearly 3,400 damaged houses and a total of approximately 161,300 affected people across 13 district throughout the aforementioned six affected provinces. ([ECHO, 5 Jun 2024](https://reliefweb.int/node/4067870/))

According to the National Disaster Relief Services Centre (NDRSC), as of 6 June, 30 people died - seven in Ratanapura, six in Matara, and six others in Dalle District - three are still missing and 44 have been injured. Moreover, 281,144 people have been affected and more than 10,000 houses have been damaged. ([ECHO, 6 Jun 2024](https://reliefweb.int/node/4068141/))

Heavy rain and strong winds brought by the south-west monsoon are still impacting most parts of Sri Lanka, causing floods, landslides and severe weather-related incidents that resulted in an increasing number of casualties and damage. The National Disaster Relief Service Centre (NDRRSC) recorded, as of 6 June, 33 fatalities, seven of which in Ratnapura district, another seven in Galle district, and six in Matara district. Moreover, three people are still missing, 47 others have been injured, almost 5,000 have been evacuated in 98 evacuation centres and more than 200,000 have been affected across 23 districts across the country. ([ECHO, 11 Jun 2024](https://reliefweb.int/node/4069365/))

The humanitarian impact is still increasing in Sri Lanka following heavy rain and strong winds brought by the south-west monsoon since mid-May. This severe weather event is causing floods, landslides and severe weather-related incidents that resulted in casualties and damage. According to the National Disaster Relief Service Centre (NDRRSC), as of 11 June, 37 people died in ten Districts, most of them in Ratapura, Galle and Matara. Moreover, three people are still missing, 48 others have been injured, more than 8,000 have been evacuated in 122 evacuation centres and more than 235,854 have been affected across 23 districts. Furthermore, more than 16,000 houses have been damaged. ([ECHO, 12 Jun 2024](https://reliefweb.int/node/4069787))",Flood,ongoing,2024-06-12T03:55:16+00:00,Sri Lanka,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Belize: Wild Fires - May 2024,"On May 16, the Toledo District Emergency Operations Centre was activated, and an emergency meeting was held with representatives of the Fire Department, the Forest Department, the Ministry of Infrastructure Development and Housing, the Ministry of Transport, Belize Defense Force, Ya’axché Conservation Trust and Toledo Institute for Development and Environment (TIDE). The Ministry of Blue Economy and Disaster Risk Management informed that the National Emergency Management Organization (NEMO) had been responding to reports of wildfires affecting the village of San Pedro Columbia and adjacent communities in the Toledo District. Initial assessments were conducted, and a plan of action was created to provide immediate humanitarian support to affected families. NEMO maintained contact with the chairpersons and alcaldes of San Pedro Columbia, Crique Jute, Mafredi, and San Antonio. Aerial reconnaissance was conducted on May 17th to confirm the extent of the fire, determine the initial damage assessment, and assist in plans to contain the fire. Based on this initial assessment and as a result of the wildfires affecting the community of San Pedro Columbia and adjacent communities in the Toledo District, the Ministry of Blue Economy and Disaster Risk Management and the NEMO informed that a proclamation declaring a state of public emergency for the district was signed by the Governor General on May 19. On May 20, the Government of Belize halted classes in localities of the country that had been affected by forest fires and suffered heavy environmental pollution due to this cause. The Ministry of Education declared the measure for all schools in the Toledo district and considered the action necessary due to the poor air quality in that area. Several local media reports document the extent of damage the fires have caused within the Toledo District. According to two media outlets, around one hundred farmers have lost their entire farms. The fires that swept through several communities in the Toledo District have left significant losses in their wake. The fires became a threat to the communities as they threatened farms in several Maya villages, starting in San Pedro, Columbia. The Belize Defense Force’s Cadenas Outpost near Graham Creek had also been consumed by the fires. Deputy Commander of the Belize Defense Force, Colonel Anthony Velasquez said the soldiers had to abandon the post. These media reports are supported by the ongoing needs assessment being conducted by the national authorities, which states that “the main effects in the Toledo District were loss of livelihoods and crops, temporary displacement, inconvenience, and respiratory health issues. There are no reports of injury, loss of life, or missing person(s).” ([IFRC, 7 Jun 2024](https://reliefweb.int/node/4069444))",Fire,past,2024-06-11T13:28:31+00:00,Belize,"Firefighting, Evacuation procedures, Fire prevention, Reforestation, Wildlife protection"
Namibia: Drought - May 2024,"On 22 May, the Government of Namibia declared the State of Emergency following the worst drought that the country has experienced in 100 years. According to media reports, every one in five Namibians is considered food insecure. Against the backdrop of scarce rains, over 331,000 households have already registered for the government-funded drought relief programme to assist the affected communities. This programme amounts to EUR 40 million but it currently has a funding gap of EUR 25 million. At the extraordinary summit held on 20 May by the Southern African Development Community (SADC) to discuss the El Niño-induced drought and floods affecting member states, the Namibian President called for assistance from SADC countries and the International Community at large to bridge the above-mentioned funding gap. ([ECHO, 29 May 2024](https://reliefweb.int/node/4065957))

Between April and June 2024, an estimated 1.2 million people (40 percent of the analysed population) in Namibia face high levels of acute food insecurity (IPC Phase 3 or above) and require urgent action to reduce food gaps and protect livelihoods. These are the most vulnerable groups (unemployed, marginalized communities, those with no national documents to benefit from social safety nets, children under the age of five, pregnant and breastfeeding women and pensioners) in both urban and rural areas. This number has more than doubled from 491,000 people (19 percent of the population analysed) which were projected to be facing acute food insecurity during the period under review in the July 2023 analysis.The entire country (all 14 regions) is classified in Crisis (IPC Phase 3) and need action for livelihood protection. Namibia’s deteriorating food security is mainly driven by the impact of El Nino on crop and livestock production, climatic shocks, price shocks, economic decline and unemployment. ([IPC, 8 Jul 2024](https://reliefweb.int/node/4076162))
### Appeals & Response Plans

- [![SADC: SADC Regional Humanitarian Appeal: Response to the El Niño Induced Drought and Floods - May 2024 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/7e/f1/7ef10501-eaaf-4860-8dcd-777b3c17bca3.png) SADC: SADC Regional Humanitarian Appeal: Response to the El Niño Induced Drought and Floods - May 2024](https://reliefweb.int/node/4067778)",Drought,ongoing,2024-05-29T13:49:49+00:00,Namibia,"Water conservation, Agricultural assistance, Climate resilience, Community support programs, Sustainable practices"
